Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1669371997,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669371998,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669371999,3,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372000,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372001,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372002,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372003,7,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372005,8,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372006,9,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372007,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372008,11,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372009,12,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372010,13,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372011,14,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372012,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372013,16,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372014,17,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372015,18,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372016,19,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372017,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372018,21,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669372019,22,,Aggregated,0.000000,0.000000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,1,1,21059.38469999819,21059.38469999819,21059.38469999819,21059.38469999819,0.0
1669372020,23,,Aggregated,0.000000,0.000000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,2,2,21044.057000006433,21051.72085000231,21044.057000006433,21059.38469999819,0.0
1669372021,24,,Aggregated,0.000000,0.000000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,3,3,21044.057000006433,21051.082133334905,21044.057000006433,21059.38469999819,0.0
1669372022,25,,Aggregated,0.100000,0.100000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,4,4,21044.057000006433,21051.01842500153,21044.057000006433,21059.38469999819,0.0
1669372023,26,,Aggregated,0.200000,0.200000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,5,5,21044.057000006433,21050.093640002888,21044.057000006433,21059.38469999819,0.0
1669372024,27,,Aggregated,0.300000,0.300000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,6,6,21044.057000006433,21050.049533335066,21044.057000006433,21059.38469999819,0.0
1669372025,28,,Aggregated,0.400000,0.400000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,7,7,21044.057000006433,21050.071157145016,21044.057000006433,21059.38469999819,0.0
1669372026,29,,Aggregated,0.500000,0.500000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,8,8,21044.057000006433,21049.96787500204,21044.057000006433,21059.38469999819,0.0
1669372027,30,,Aggregated,0.600000,0.600000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,9,9,21044.057000006433,21049.368855557987,21044.057000006433,21059.38469999819,0.0
1669372028,31,,Aggregated,0.700000,0.700000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,10,10,21044.057000006433,21049.198330003128,21044.057000006433,21059.38469999819,0.0
1669372029,32,,Aggregated,0.800000,0.800000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,11,11,21037.879199997406,21048.169318184428,21037.879199997406,21059.38469999819,0.0
1669372030,33,,Aggregated,0.900000,0.900000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,12,12,21037.879199997406,21047.9464500022,21037.879199997406,21059.38469999819,0.0
1669372031,34,,Aggregated,1.000000,1.000000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,13,13,21037.879199997406,21047.246223078288,21037.879199997406,21059.38469999819,0.0
1669372032,35,,Aggregated,1.000000,1.000000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,14,14,21037.879199997406,21047.537964287454,21037.879199997406,21059.38469999819,0.0
1669372033,36,,Aggregated,1.000000,1.000000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,15,15,21037.879199997406,21047.16299333474,21037.879199997406,21059.38469999819,0.0
